variant,triangles,regimen,seed,target,generation,best_fitness,best_global_fitness,mean_fitness,std_fitness,diversity,stalled,structure_stable,share_unchanged,evaluations,elapsed
800 tri · pm fijo,800,pm fijo,3,compleja,122,0.888194816391302,0.8886086347949447,0.8843017229848075,0.0027749368183000024,0.030522517121834267,2,0,0.0,9840,55.8221243750304
800 tri · pm fijo,800,pm fijo,3,compleja,123,0.8879283215773116,0.8886086347949447,0.8839408407105159,0.002839103746589687,0.03130347087435259,3,0,0.0,9920,56.319928999990225
800 tri · pm fijo,800,pm fijo,3,compleja,124,0.8876894720191486,0.8886086347949447,0.8838201267967808,0.0027818881795167913,0.031250565217728433,4,0,0.0,10000,56.80112200009171
800 tri · pm fijo,800,pm fijo,3,compleja,125,0.8876529182110029,0.8886086347949447,0.8838308059696243,0.0033540237939110613,0.031105088211363072,5,0,0.0,10080,57.297101417090744
800 tri · pm fijo,800,pm fijo,3,compleja,126,0.887526875653198,0.8886086347949447,0.8841596127701064,0.0026854313775641885,0.03064769290121549,6,0,0.0,10160,57.77471458399668
800 tri · pm fijo,800,pm fijo,3,compleja,127,0.8879528935802821,0.8886086347949447,0.884589995604068,0.0017546599966771108,0.030721548092815833,7,0,0.0,10240,58.25868929200806
800 tri · pm fijo,800,pm fijo,3,compleja,128,0.8878218194951097,0.8886086347949447,0.8839470803539274,0.002596748252175873,0.031027079867740667,8,0,0.0,10320,58.81298375001643
800 tri · pm fijo,800,pm fijo,3,compleja,129,0.8885656317804487,0.8886086347949447,0.884023285235401,0.002548784344321522,0.031331829325218025,9,0,0.0,10400,59.37355120899156
800 tri · pm fijo,800,pm fijo,3,compleja,130,0.8883333342142159,0.8886086347949447,0.8840879699081559,0.002764953175740445,0.03102574742937074,10,0,0.0,10480,59.84481241705362
800 tri · pm fijo,800,pm fijo,3,compleja,131,0.8889332316471844,0.8889332316471844,0.8845052116090948,0.002399727036837307,0.030094190006135776,0,0,0.0,10560,60.3460447920952
800 tri · pm fijo,800,pm fijo,3,compleja,132,0.8887849415788451,0.8889332316471844,0.8847048964877444,0.0024139384756532646,0.030549553543311875,1,0,0.0,10640,60.837220334098674
800 tri · pm fijo,800,pm fijo,3,compleja,133,0.8895019435689886,0.8895019435689886,0.8843863557436598,0.00333956296370291,0.029340531137926944,0,0,0.0,10720,61.32337620900944
800 tri · pm fijo,800,pm fijo,3,compleja,134,0.8889282247283216,0.8895019435689886,0.8848750823110985,0.0028382079006965613,0.029416997910729343,1,0,0.0,10800,61.802961167064495
800 tri · pm fijo,800,pm fijo,3,compleja,135,0.88850706615917,0.8895019435689886,0.8848822060199375,0.0035894229127426814,0.0290256626485746,2,0,0.0,10880,62.32870420906693
800 tri · pm fijo,800,pm fijo,3,compleja,136,0.8885754619198157,0.8895019435689886,0.8845165257181884,0.0037986090017951,0.029741993764402643,3,0,0.0,10960,62.817013500025496
